Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Delivery Efficiency (min/km),Topping Density,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Pizza Complexity,Traffic Impact,Order Hour,Restaurant Avg Time
ORD042,Papa John's,"Boston, MA",2024-02-12 20:15:00,2024-02-12 20:40:00,25,Small,Vegan,2,2,Medium,Cash,TRUE,FALSE,12.5,1,February,Offline,4.8,20.2,FALSE,2,2,20,28.18627451
ORD043,Little Caesars,"Dallas, TX",2024-02-13 18:30:00,2024-02-13 18:50:00,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,6.666666667,1,February,Online,7.2,12.8,FALSE,6,3,18,28.84422111
ORD044,Pizza Hut,"Los Angeles, CA",2024-02-14 19:45:00,2024-02-14 20:10:00,25,XL,Cheese Burst,5,5,Low,Card,TRUE,FALSE,5,1,February,Online,12,13,FALSE,20,1,19,29.94845361
ORD045,Marco's Pizza,"Chicago, IL",2024-02-15 13:00:00,2024-02-15 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,UPI,FALSE,FALSE,5.714285714,0.857142857,February,Online,8.4,11.6,FALSE,6,2,13,30.28645833
ORD046,Domino's,"Miami, FL",2024-02-16 18:30:00,2024-02-16 18:50:00,20,Large,Veg,4,4,High,Cash,TRUE,FALSE,5,1,February,Offline,9.6,10.4,FALSE,12,3,18,30.25943396
ORD047,Papa John's,"Dallas, TX",2024-02-17 20:00:00,2024-02-17 20:25:00,25,Medium,Non-Veg,3,3,Low,Wallet,TRUE,TRUE,8.333333333,1,February,Online,7.2,17.8,FALSE,6,1,20,28.18627451
ORD048,Little Caesars,"Houston, TX",2024-02-18 19:15:00,2024-02-18 19:35:00,20,Small,Vegan,2,2.5,Medium,Card,TRUE,TRUE,8,0.8,February,Online,6,14,FALSE,2,2,19,28.84422111
ORD049,Pizza Hut,"Phoenix, AZ",2024-02-19 20:30:00,2024-02-19 20:55:00,25,XL,Cheese Burst,5,4.5,High,UPI,TRUE,FALSE,5.555555556,1.111111111,February,Online,10.8,14.2,FALSE,20,3,20,29.94845361
ORD050,Marco's Pizza,"Atlanta, GA",2024-02-20 14:45:00,2024-02-20 15:05:00,20,Medium,Non-Veg,3,3,Low,Cash,FALSE,FALSE,6.666666667,1,February,Offline,7.2,12.8,FALSE,6,1,14,30.28645833
ORD051,Domino's,"Seattle, WA",2024-02-21 19:00:00,2024-02-21 19:20:00,20,Large,Veg,4,4,Medium,Wallet,TRUE,FALSE,5,1,February,Online,9.6,10.4,FALSE,12,2,19,30.25943396
ORD052,Papa John's,"Denver, CO",2024-02-22 20:15:00,2024-02-22 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,12.5,1,February,Online,4.8,20.2,FALSE,2,3,20,28.18627451
ORD053,Little Caesars,"Boston, MA",2024-02-23 18:30:00,2024-02-23 18:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,5.714285714,0.857142857,February,Online,8.4,11.6,FALSE,6,1,18,28.84422111
ORD054,Pizza Hut,"Chicago, IL",2024-02-24 19:45:00,2024-02-24 20:10:00,25,XL,Cheese Burst,5,4,Medium,Cash,TRUE,TRUE,6.25,1.25,February,Offline,9.6,15.4,FALSE,20,2,19,29.94845361
ORD055,Marco's Pizza,"Miami, FL",2024-02-25 13:00:00,2024-02-25 13:20:00,20,Medium,Non-Veg,3,3,High,Wallet,FALSE,TRUE,6.666666667,1,February,Online,7.2,12.8,FALSE,6,3,13,30.28645833
ORD056,Domino's,"Los Angeles, CA",2024-02-26 18:30:00,2024-02-26 18:50:00,20,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,4.444444444,0.888888889,February,Online,10.8,9.2,FALSE,12,1,18,30.25943396
ORD057,Papa John's,"Phoenix, AZ",2024-02-27 20:00:00,2024-02-27 20:25:00,25,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,8.333333333,1,February,Online,7.2,17.8,FALSE,6,3,20,28.18627451
ORD058,Little Caesars,"Atlanta, GA",2024-02-28 19:15:00,2024-02-28 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,February,Offline,6,14,FALSE,2,1,19,28.84422111
ORD059,Pizza Hut,"Dallas, TX",2024-02-29 20:30:00,2024-02-29 20:55:00,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,6.25,1.25,February,Online,9.6,15.4,FALSE,20,2,20,29.94845361
ORD060,Marco's Pizza,"Seattle, WA",2024-03-01 14:45:00,2024-03-01 15:05:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,FALSE,5.714285714,0.857142857,March,Online,8.4,11.6,FALSE,6,3,14,30.28645833
ORD061,Domino's,"Denver, CO",2024-03-02 19:00:00,2024-03-02 19:20:00,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,5,1,March,Online,9.6,10.4,FALSE,12,1,19,30.25943396
ORD062,Papa John's,"Boston, MA",2024-03-03 20:15:00,2024-03-03 20:40:00,25,Small,Vegan,2,2,Medium,Cash,TRUE,TRUE,12.5,1,March,Offline,4.8,20.2,FALSE,2,2,20,28.18627451
ORD063,Little Caesars,"Dallas, TX",2024-03-04 18:30:00,2024-03-04 18:50:00,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,6.666666667,1,March,Online,7.2,12.8,FALSE,6,3,18,28.84422111
ORD064,Pizza Hut,"Los Angeles, CA",2024-03-05 19:45:00,2024-03-05 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Card,TRUE,FALSE,5.555555556,1.111111111,March,Online,10.8,14.2,FALSE,20,1,19,29.94845361
ORD065,Marco's Pizza,"Chicago, IL",2024-03-06 13:00:00,2024-03-06 13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,5.714285714,0.857142857,March,Online,8.4,11.6,FALSE,6,1,13,30.28645833
ORD066,Domino's,"Miami, FL",2024-03-07 18:30:00,2024-03-07 18:50:00,20,Large,Veg,4,4,High,Card,TRUE,FALSE,5,1,March,Online,9.6,10.4,FALSE,12,3,18,30.25943396
ORD067,Papa John's,"Dallas, TX",2024-03-08 20:00:00,2024-03-08 20:25:00,25,Medium,Non-Veg,3,3.5,Medium,UPI,TRUE,FALSE,7.142857143,0.857142857,March,Online,8.4,16.6,FALSE,6,2,20,28.18627451
ORD068,Little Caesars,"Chicago, IL",2024-03-09 19:15:00,2024-03-09 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,8,0.8,March,Offline,6,14,FALSE,2,1,19,28.84422111
ORD069,Pizza Hut,"Phoenix, AZ",2024-03-10 19:45:00,2024-03-10 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,5.555555556,1.111111111,March,Online,10.8,14.2,FALSE,20,3,19,29.94845361
ORD070,Marco's Pizza,"Atlanta, GA",2024-03-11 13:00:00,2024-03-11 13:20:00,20,Medium,Non-Veg,3,3,Low,Card,FALSE,FALSE,6.666666667,1,March,Online,7.2,12.8,FALSE,6,1,13,30.28645833
ORD071,Domino's,"Seattle, WA",2024-03-12 18:30:00,2024-03-12 18:50:00,20,Large,Veg,4,4,Medium,UPI,TRUE,FALSE,5,1,March,Online,9.6,10.4,FALSE,12,2,18,30.25943396
ORD072,Papa John's,"Denver, CO",2024-03-13 20:15:00,2024-03-13 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,March,Offline,4.8,20.2,FALSE,2,3,20,28.18627451
ORD073,Little Caesars,"Boston, MA",2024-03-14 18:30:00,2024-03-14 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,5.714285714,0.857142857,March,Online,8.4,11.6,FALSE,6,1,18,28.84422111
ORD074,Pizza Hut,"Chicago, IL",2024-03-15 19:45:00,2024-03-15 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,6.25,1.25,March,Online,9.6,15.4,FALSE,20,2,19,29.94845361
ORD075,Marco's Pizza,"Miami, FL",2024-03-16 13:00:00,2024-03-16 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,TRUE,6.666666667,1,March,Online,7.2,12.8,FALSE,6,3,13,30.28645833
ORD076,Domino's,"Los Angeles, CA",2024-03-17 18:30:00,2024-03-17 18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,TRUE,4.444444444,0.888888889,March,Offline,10.8,9.2,FALSE,12,1,18,30.25943396
ORD077,Papa John's,"Phoenix, AZ",2024-03-18 20:00:00,2024-03-18 20:25:00,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,8.333333333,1,March,Online,7.2,17.8,FALSE,6,3,20,28.18627451
ORD078,Little Caesars,"Atlanta, GA",2024-03-19 19:15:00,2024-03-19 19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,8,0.8,March,Online,6,14,FALSE,2,1,19,28.84422111
ORD079,Pizza Hut,"Dallas, TX",2024-03-20 19:45:00,2024-03-20 20:10:00,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,6.25,1.25,March,Online,9.6,15.4,FALSE,20,2,19,29.94845361
ORD080,Marco's Pizza,"Seattle, WA",2024-03-21 13:00:00,2024-03-21 13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,FALSE,5.714285714,0.857142857,March,Offline,8.4,11.6,FALSE,6,3,13,30.28645833
ORD081,Domino's,"Denver, CO",2024-03-22 18:30:00,2024-03-22 18:50:00,20,Large,Veg,4,4,Low,Wallet,TRUE,FALSE,5,1,March,Online,9.6,10.4,FALSE,12,1,18,30.25943396
ORD082,Papa John's,"Boston, MA",2024-03-23 20:15:00,2024-03-23 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,TRUE,12.5,1,March,Online,4.8,20.2,FALSE,2,3,20,28.18627451
ORD083,Little Caesars,"Dallas, TX",2024-03-24 18:30:00,2024-03-24 18:50:00,20,Medium,Non-Veg,3,3,High,UPI,TRUE,TRUE,6.666666667,1,March,Online,7.2,12.8,FALSE,6,3,18,28.84422111
ORD084,Pizza Hut,"Los Angeles, CA",2024-03-25 19:45:00,2024-03-25 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,5.555555556,1.111111111,March,Offline,10.8,14.2,FALSE,20,1,19,29.94845361
ORD085,Marco's Pizza,"Chicago, IL",2024-03-26 13:00:00,2024-03-26 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,5.714285714,0.857142857,March,Online,8.4,11.6,FALSE,6,2,13,30.28645833
ORD086,Domino's,"Miami, FL",2024-03-27 18:30:00,2024-03-27 18:50:00,20,Large,Veg,4,4,High,Card,TRUE,FALSE,5,1,March,Online,9.6,10.4,FALSE,12,3,18,30.25943396
ORD087,Papa John's,"Dallas, TX",2024-03-28 20:00:00,2024-03-28 20:25:00,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,FALSE,8.333333333,1,March,Online,7.2,17.8,FALSE,6,1,20,28.18627451
ORD088,Little Caesars,"Houston, TX",2024-03-29 19:15:00,2024-03-29 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,March,Offline,6,14,FALSE,2,1,19,28.84422111
ORD089,Pizza Hut,"Phoenix, AZ",2024-03-30 19:45:00,2024-03-30 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,5.555555556,1.111111111,March,Online,10.8,14.2,FALSE,20,3,19,29.94845361
ORD090,Marco's Pizza,"Atlanta, GA",2024-03-31 13:00:00,2024-03-31 13:20:00,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,TRUE,6.666666667,1,March,Online,7.2,12.8,FALSE,6,2,13,30.28645833
ORD091,Domino's,"Seattle, WA",2024-04-01 18:30:00,2024-04-01 18:50:00,20,Large,Veg,4,4,Low,UPI,TRUE,FALSE,5,1,April,Online,9.6,10.4,FALSE,12,1,18,30.25943396
ORD092,Papa John's,"Denver, CO",2024-04-02 20:15:00,2024-04-02 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,April,Offline,4.8,20.2,FALSE,2,3,20,28.18627451
ORD093,Little Caesars,"Boston, MA",2024-04-03 18:30:00,2024-04-03 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,5.714285714,0.857142857,April,Online,8.4,11.6,FALSE,6,1,18,28.84422111
ORD094,Pizza Hut,"Chicago, IL",2024-04-04 19:45:00,2024-04-04 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,6.25,1.25,April,Online,9.6,15.4,FALSE,20,2,19,29.94845361
ORD095,Marco's Pizza,"Miami, FL",2024-04-05 13:00:00,2024-04-05 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,6.666666667,1,April,Online,7.2,12.8,FALSE,6,3,13,30.28645833
ORD096,Domino's,"Los Angeles, CA",2024-04-06 18:30:00,2024-04-06 18:50:00,20,Large,Veg,4,4.5,High,Card,TRUE,TRUE,4.444444444,0.888888889,April,Online,10.8,9.2,FALSE,12,3,18,30.25943396
ORD097,Papa John's,"Dallas, TX",2024-04-07 20:00:00,2024-04-07 20:25:00,25,Medium,Non-Veg,3,3,Medium,UPI,TRUE,TRUE,8.333333333,1,April,Online,7.2,17.8,FALSE,6,2,20,28.18627451
ORD098,Little Caesars,"Chicago, IL",2024-04-08 19:15:00,2024-04-08 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,April,Offline,6,14,FALSE,2,1,19,28.84422111
ORD099,Pizza Hut,"Phoenix, AZ",2024-04-09 19:45:00,2024-04-09 20:10:00,25,XL,Cheese Burst,5,4,High,Wallet,TRUE,FALSE,6.25,1.25,April,Online,9.6,15.4,FALSE,20,3,19,29.94845361
ORD100,Marco's Pizza,"Atlanta, GA",2024-04-10 13:00:00,2024-04-10 13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,5.714285714,0.857142857,April,Online,8.4,11.6,FALSE,6,1,13,30.28645833
ORD101,Domino's,"Seattle, WA",2024-04-11 18:30:00,2024-04-11 18:50:00,20,Large,Veg,4,4.5,Medium,UPI,TRUE,FALSE,4.444444444,0.888888889,April,Online,10.8,9.2,FALSE,12,2,18,30.25943396
ORD102,Papa John's,"Denver, CO",2024-04-12 20:15:00,2024-04-12 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,April,Offline,4.8,20.2,FALSE,2,3,20,28.18627451
ORD103,Little Caesars,"Boston, MA",2024-04-13 18:30:00,2024-04-13 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,TRUE,5.714285714,0.857142857,April,Online,8.4,11.6,FALSE,6,1,18,28.84422111
ORD104,Pizza Hut,"Chicago, IL",2024-04-14 19:45:00,2024-04-14 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,TRUE,6.25,1.25,April,Online,9.6,15.4,FALSE,20,2,19,29.94845361
ORD105,Marco's Pizza,"Miami, FL",2024-04-15 13:00:00,2024-04-15 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,6.666666667,1,April,Online,7.2,12.8,FALSE,6,3,13,30.28645833
ORD106,Domino's,"Los Angeles, CA",2024-04-16 18:30:00,2024-04-16 18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,FALSE,4.444444444,0.888888889,April,Offline,10.8,9.2,FALSE,12,1,18,30.25943396
ORD107,Papa John's,"Phoenix, AZ",2024-04-17 20:00:00,2024-04-17 20:25:00,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,8.333333333,1,April,Online,7.2,17.8,FALSE,6,3,20,28.18627451
ORD108,Little Caesars,"Atlanta, GA",2024-04-18 19:15:00,2024-04-18 19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,8,0.8,April,Online,6,14,FALSE,2,1,19,28.84422111
ORD109,Pizza Hut,"Dallas, TX",2024-04-19 19:45:00,2024-04-19 20:10:00,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,6.25,1.25,April,Online,9.6,15.4,FALSE,20,2,19,29.94845361
ORD110,Marco's Pizza,"Seattle, WA",2024-04-20 13:00:00,2024-04-20 13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,TRUE,5.714285714,0.857142857,April,Offline,8.4,11.6,FALSE,6,3,13,30.28645833
ORD111,Domino's,"Denver, CO",2024-04-21 18:30:00,2024-04-21 18:50:00,20,Large,Veg,4,4.5,Low,Wallet,TRUE,TRUE,4.444444444,0.888888889,April,Online,10.8,9.2,FALSE,12,1,18,30.25943396
ORD112,Papa John's,"Boston, MA",2024-04-22 20:15:00,2024-04-22 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,12.5,1,April,Online,4.8,20.2,FALSE,2,3,20,28.18627451
ORD113,Little Caesars,"Dallas, TX",2024-04-23 18:30:00,2024-04-23 18:50:00,20,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,6.666666667,1,April,Online,7.2,12.8,FALSE,6,3,18,28.84422111
ORD114,Pizza Hut,"Los Angeles, CA",2024-04-24 19:45:00,2024-04-24 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,5.555555556,1.111111111,April,Offline,10.8,14.2,FALSE,20,1,19,29.94845361
